City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,-33.65,115.3333,82.42,34,72,8.5
1,Uni,RU,57.7535,51.4923,15.58,82,7,0.43
2,Lumeje,AO,-11.55,20.7833,80.74,55,20,1.25
3,Fuerte Olimpo,PY,-21.0415,-57.8738,68.99,96,100,6.46
4,Bredasdorp,ZA,-34.5322,20.0403,72.23,42,55,5.48
5,Vestmanna,FO,62.1564,-7.1664,40.12,52,75,13.8
6,Port Alfred,ZA,-33.5906,26.891,69.19,80,100,3.0
7,Ribeira Grande,PT,38.5167,-28.7,67.77,88,75,21.99
8,Saint-Georges,GD,12.0564,-61.7485,78.94,80,43,17.2
9,Atasu,KZ,48.6814,71.6433,26.42,91,100,7.23
10,East London,ZA,-33.0153,27.9116,67.73,88,100,11.5
11,Stryn,NO,61.9045,6.7226,32.14,64,8,7.25
12,Port Elizabeth,ZA,-33.918,25.5701,70.32,66,100,11.01
13,Cape Town,ZA,-33.9258,18.4232,73.11,63,91,5.01
14,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.89,88,72,9.15
15,Dingle,PH,10.9995,122.6711,84.09,78,90,7.63
16,Tomislavgrad,BA,43.7181,17.2267,40.8,96,100,15.05
17,Rawson,AR,-43.3002,-65.1023,57.97,57,45,12.19
18,Punta Arenas,CL,-53.15,-70.9167,46.51,81,75,3.44
19,Hersbruck,DE,49.5125,11.4339,40.46,95,100,2.95
20,Meulaboh,ID,4.1363,96.1285,81.99,74,100,6.58
21,Dikson,RU,73.5069,80.5464,-20.34,97,97,9.82
22,Bell Ville,AR,-32.6259,-62.6887,49.66,64,0,5.53
23,Harper,LR,4.375,-7.7169,79.21,83,78,7.25
24,Quelimane,MZ,-17.8786,36.8883,87.75,55,40,8.05
25,Ushuaia,AR,-54.8,-68.3,46.06,76,20,2.3
26,Narsaq,GL,60.9167,-46.05,17.82,75,100,5.66
27,Ruthen,DE,51.4909,8.436,41.05,81,20,9.22
28,Jamestown,US,42.097,-79.2353,36.99,54,75,6.91
