City_ID,City,Country,Max Temp,Humidity,Cloudiness,Lat,Lng,Hotel Name
0,Busselton,AU,82.42,34,72,-33.65,115.3333,Observatory Guest House
4,Bredasdorp,ZA,72.23,42,55,-34.5322,20.0403,Bredasdorp Country Manor
8,Saint-Georges,GD,78.94,80,43,12.0564,-61.7485,Radisson Grenada Beach Resort
12,Port Elizabeth,ZA,70.32,66,100,-33.918,25.5701,39 On Nile Guest House
13,Cape Town,ZA,73.11,63,91,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
14,Sao Joao Da Barra,BR,71.89,88,72,-21.6403,-41.0511,Pousada Porto De Canoas
15,Dingle,PH,84.09,78,90,10.9995,122.6711,SEGAYA PROPERTY
20,Meulaboh,ID,81.99,74,100,4.1363,96.1285,Kost Pria
23,Harper,LR,79.21,83,78,4.375,-7.7169,Screensaver
24,Quelimane,MZ,87.75,55,40,-17.8786,36.8883,Hotel Flamingo
32,Souillac,MU,81.55,57,1,-20.5167,57.5167,Shanti Maurice Resort & Spa
35,Georgetown,MY,86.9,76,20,5.4112,100.3354,Cititel Penang
36,Bouna,CI,77.41,21,8,9.2667,-3.0,Hôtel lababa
39,Mansoa,GW,70.21,45,35,12.0733,-15.3189,Hotel Uaque
40,Hithadhoo,MV,81.82,72,39,-0.6,73.0833,Scoop Guest House
43,Saint-Philippe,RE,83.1,75,57,-21.3585,55.7679,Le four à pain
49,Lichinga,MZ,78.49,47,13,-13.3128,35.2406,Residencial Bendiak
50,Jizan,SA,88.74,30,0,17.3333,42.6667,شهدان. ابوالحجر
51,Arraial Do Cabo,BR,73.26,83,20,-22.9661,-42.0278,Pousada Porto Praia
52,Sokoto,NG,75.42,17,94,13.0609,5.239,Grand Ibro Hotel
55,Hermanus,ZA,75.79,59,93,-34.4187,19.2345,Misty Waves Boutique Hotel
69,Victoria,HK,77.38,84,100,22.2855,114.1577,Mini Central
74,Soyo,AO,78.46,79,75,-6.1349,12.3689,Hospedaria ndozi'ame
77,Soni,TZ,76.57,57,82,-4.85,38.3667,Maweni Farm Hotel & Camping
78,Hambantota,LK,84.63,68,58,6.1241,81.1185,Bungalow 63
83,Omboue,GA,81.03,76,69,-1.5746,9.2618,Hotel Olako
86,Carnarvon,AU,76.78,67,69,-24.8667,113.6333,Hospitality Carnarvon
87,Gwadar,PK,82.9,23,0,25.1216,62.3254,Sadaf Resort
90,Doha,QA,78.78,50,0,25.2867,51.5333,Mövenpick Doha
91,Sao Filipe,CV,77.92,59,100,14.8961,-24.4956,Hotel Xaguate
93,Lagunas,PE,72.16,96,7,-5.2269,-75.6753,Hospedaje Eco
95,Inhambane,MZ,82.15,46,8,-23.865,35.3833,Oceano
102,Mahebourg,MU,84.49,58,40,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
106,Bambous Virieux,MU,84.45,58,40,-20.3428,57.7575,Casa Tia Villa
108,Omidiyeh,IR,84.07,24,0,30.7597,49.705,Royal Complex
110,Oussouye,SN,73.45,37,61,12.485,-16.5469,Auberge du Routard
111,Bandarbeyla,SO,82.81,54,7,9.4942,50.8122,JABIR HOTEL
115,Richards Bay,ZA,84.33,45,58,-28.783,32.0377,BON Hotel Waterfront Richards Bay
116,Porto Walter,BR,75.18,89,99,-8.2686,-72.7439,Hotel Silva
118,Santa Rosa,PH,88.11,71,100,14.3122,121.1114,Erlyn’s Sta Rosa City Home
125,Pointe Michel,DM,79.72,75,13,15.25,-61.3833,Roseau Hostel & Beach Front Property
130,Binga,ZW,86.95,47,32,-17.6203,27.3414,Lakeview Inn Binga
